season,competition,event,instance_of_event_in_competition,gender,round,race,Place,Start Pos.,Warn.,Relay Team,#,Name,ISU ID,ISU Member,Results,Qual.,Points,laps_of_split_data,lap_1_position,lap_1_laptime,lap_1_elapsedtime,lap_2_position,lap_2_laptime,lap_2_elapsedtime,lap_3_position,lap_3_laptime,lap_3_elapsedtime,lap_4_position,lap_4_laptime,lap_4_elapsedtime,lap_5_position,lap_5_laptime,lap_5_elapsedtime,lap_6_position,lap_6_laptime,lap_6_elapsedtime,lap_7_position,lap_7_laptime,lap_7_elapsedtime,lap_8_position,lap_8_laptime,lap_8_elapsedtime,lap_9_position,lap_9_laptime,lap_9_elapsedtime,lap_10_position,lap_10_laptime,lap_10_elapsedtime,lap_11_position,lap_11_laptime,lap_11_elapsedtime,lap_12_position,lap_12_laptime,lap_12_elapsedtime,lap_13_position,lap_13_laptime,lap_13_elapsedtime,lap_14_position,lap_14_laptime,lap_14_elapsedtime,lap_15_position,lap_15_laptime,lap_15_elapsedtime,lap_16_position,lap_16_laptime,lap_16_elapsedtime,lap_17_position,lap_17_laptime,lap_17_elapsedtime,lap_18_position,lap_18_laptime,lap_18_elapsedtime,lap_19_position,lap_19_laptime,lap_19_elapsedtime,lap_20_position,lap_20_laptime,lap_20_elapsedtime,lap_21_position,lap_21_laptime,lap_21_elapsedtime,lap_22_position,lap_22_laptime,lap_22_elapsedtime,lap_23_position,lap_23_laptime,lap_23_elapsedtime,lap_24_position,lap_24_laptime,lap_24_elapsedtime,lap_25_position,lap_25_laptime,lap_25_elapsedtime,lap_26_position,lap_26_laptime,lap_26_elapsedtime,lap_27_position,lap_27_laptime,lap_27_elapsedtime,lap_28_position,lap_28_laptime,lap_28_elapsedtime,lap_29_position,lap_29_laptime,lap_29_elapsedtime,lap_30_position,lap_30_laptime,lap_30_elapsedtime,lap_31_position,lap_31_laptime,lap_31_elapsedtime,lap_32_position,lap_32_laptime,lap_32_elapsedtime,lap_33_position,lap_33_laptime,lap_33_elapsedtime,lap_34_position,lap_34_laptime,lap_34_elapsedtime,lap_35_position,lap_35_laptime,lap_35_elapsedtime,lap_36_position,lap_36_laptime,lap_36_elapsedtime,lap_37_position,lap_37_laptime,lap_37_elapsedtime,lap_38_position,lap_38_laptime,lap_38_elapsedtime,lap_39_position,lap_39_laptime,lap_39_elapsedtime,lap_40_position,lap_40_laptime,lap_40_elapsedtime,lap_41_position,lap_41_laptime,lap_41_elapsedtime,lap_42_position,lap_42_laptime,lap_42_elapsedtime,lap_43_position,lap_43_laptime,lap_43_elapsedtime,lap_44_position,lap_44_laptime,lap_44_elapsedtime,lap_45_position,lap_45_laptime,lap_45_elapsedtime
2008-2009,"Samsung ISU World Cup 2008/2009, USA, UT. Salt Lake City",1000m,-1,m,Heats,4,2,3,,,122.0,FrancoisHAMELIN,6167,CAN,"
						1:29.248 
					",Q,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,1:29.248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-2009,"Samsung ISU World Cup 2008/2009, USA, UT. Salt Lake City",1000m,-1,m,Heats,6,4,2,,,192.0,KNEGTSjinkie,7352,NED,"
						1:27.791 
					",,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,1:27.791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-2009,"Samsung ISU World Cup 2008/2009, USA, UT. Salt Lake City",1000m,-1,m,FinalB,1,3,1,,,122.0,FrancoisHAMELIN,6167,CAN,"
						2:03.581 
					",,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,2:03.581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-2009,"Samsung ISU World Cup 2008/2009, USA, UT. Salt Lake City",500m,-1,m,Preliminaries,1,1,3,,,182.0,KWAKYoon-Gy,6120,KOR,"
						42.309 
					",Q,,5.0,,,,,,,,,,,,,1.0,,42.309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-2009,"Samsung ISU World Cup 2008/2009, USA, UT. Salt Lake City",500m,-1,m,Preliminaries,11,3,3,,,192.0,KNEGTSjinkie,7352,NED,"
						43.727 
					",,,5.0,,,,,,,,,,,,,3.0,,43.727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-2009,"Samsung ISU World Cup 2008/2009, USA, UT. Salt Lake City",500m,-1,m,Preliminaries,12,2,4,,,122.0,FrancoisHAMELIN,6167,CAN,"
						42.291 
					",Q,,5.0,,,,,,,,,,,,,2.0,,42.291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-2009,"Samsung ISU World Cup 2008/2009, USA, UT. Salt Lake City",500m,-1,m,Heats,5,1,1,,,182.0,KWAKYoon-Gy,6120,KOR,"
						42.114 
					",Q,,5.0,,,,,,,,,,,,,1.0,,42.114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-2009,"Samsung ISU World Cup 2008/2009, USA, UT. Salt Lake City",500m,-1,m,Heats,6,2,2,,,122.0,FrancoisHAMELIN,6167,CAN,"
						41.315 
					",Q,,5.0,,,,,,,,,,,,,2.0,,41.315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-2009,"Samsung ISU World Cup 2008/2009, USA, UT. Salt Lake City",500m,-1,m,RepHeats,6,1,3,,,192.0,KNEGTSjinkie,7352,NED,"
						43.017 
					",Q,,5.0,1.0,6.97,6.97,2.0,9.16,16.13,2.0,8.83,24.96,3.0,9.01,33.98,1.0,9.04,43.017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-2009,"Samsung ISU World Cup 2008/2009, USA, UT. Salt Lake City",500m,-1,m,RepQuarterfinals,3,1,1,,,192.0,KNEGTSjinkie,7352,NED,"
						42.903 
					",Q,,5.0,1.0,7.03,7.03,2.0,9.23,16.26,2.0,8.82,25.08,2.0,8.87,33.96,1.0,8.95,42.903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-2009,"Samsung ISU World Cup 2008/2009, USA, UT. Salt Lake City",500m,-1,m,RepFinalB,1,1,2,,,192.0,KNEGTSjinkie,7352,NED,"
						42.589 
					",,,5.0,4.0,7.05,7.05,3.0,9.33,16.39,2.0,8.53,24.92,2.0,8.75,33.68,1.0,8.91,42.589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-2009,"Samsung ISU World Cup 2008/2009, USA, UT. Salt Lake City",500m,-1,m,RepSemifinals,1,3,4,,,192.0,KNEGTSjinkie,7352,NED,"
						42.618 
					",QB,,5.0,3.0,6.97,6.97,4.0,9.25,16.23,3.0,8.60,24.83,3.0,8.70,33.54,3.0,9.08,42.618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-2009,"Samsung ISU World Cup 2008/2009, USA, UT. Salt Lake City",500m,-1,m,Quarterfinals,1,1,1,,,122.0,FrancoisHAMELIN,6167,CAN,"
						41.645 
					",Q,,5.0,,,,,,,,,,,,,1.0,,41.645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-2009,"Samsung ISU World Cup 2008/2009, USA, UT. Salt Lake City",500m,-1,m,Quarterfinals,2,2,3,,,182.0,KWAKYoon-Gy,6120,KOR,"
						41.388 
					",Q,,5.0,,,,,,,,,,,,,2.0,,41.388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-2009,"Samsung ISU World Cup 2008/2009, USA, UT. Salt Lake City",500m,-1,m,Semifinals,1,3,3,,,122.0,FrancoisHAMELIN,6167,CAN,"
						41.855 
					",ADV,,5.0,,,,,,,,,,,,,3.0,,41.855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-2009,"Samsung ISU World Cup 2008/2009, USA, UT. Salt Lake City",500m,-1,m,Semifinals,1,DQ,2,,,182.0,KWAKYoon-Gy,6120,KOR,"
						DQ
					",,,5.0,,,,,,,,,,,,,,,DQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-2007,"2007 ISU World Championships, Italy",500m,-1,w,SemiFinals,2,2,1,,,129.0,AriannaFONTANA,6227,ITA,"
						44.901 
					",Q,,5.0,,7.517,7.517,,9.454,16.972,,9.122,26.093,,9.315,35.409,,9.541,44.949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-2007,"2007 ISU World Championships, Italy",500m,-1,w,Heats,6,1,1,,,129.0,AriannaFONTANA,6227,ITA,"
						44.840 
					",Q,,5.0,,7.241,7.241,,9.438,16.679,,9.164,25.843,,9.285,35.129,,9.710,44.839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-2007,"2007 ISU World Championships, Italy",500m,-1,w,QuarterFinals,2,2,1,,,129.0,AriannaFONTANA,6227,ITA,"
						44.916 
					",Q,,5.0,,7.212,7.212,,9.472,16.684,,9.249,25.933,,9.359,35.292,,9.630,44.922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-2007,"2007 ISU World Championships, Italy",1000m,-1,w,SemiFinals,1,3,5,,,129.0,AriannaFONTANA,6227,ITA,"
						1:32.906 
					",,,9.0,,13.433,13.433,,10.779000000000002,24.212,,9.607000000000001,33.818,,10.174,43.992,,9.625,53.618,,9.787,1:03.404,,9.196,1:12.601,,10.456,1:23.057,,10.081,1:33.137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-2007,"2007 ISU European Championships, Great Britain",500m,-1,w,QuarterFinals,3,3,2,,,29.0,AriannaFONTANA,6227,ITA,"
						46.573 
					",q,,5.0,,7.963,7.963,,9.786,17.749,,9.416,27.165,,9.236,36.401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-2007,"2007 ISU European Championships, Great Britain",500m,-1,w,SemiFinals,2,3,4,,,29.0,AriannaFONTANA,6227,ITA,"
						46.245 
					",,,5.0,,7.568,7.568,,9.564,17.132,,9.367,26.499,,9.831,36.330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-2007,"2007 ISU European Championships, Great Britain",1000m,-1,w,QuarterFinals,4,2,5,,,29.0,AriannaFONTANA,6227,ITA,"
						1:35.564 
					",Q,,9.0,,13.643,13.643,,10.202,23.844,,9.982,33.827,,10.351,44.177,,9.954,54.131,,10.274,1:04.405,,10.258,1:14.663,,10.288,1:24.951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-2007,"2007 ISU European Championships, Great Britain",1000m,-1,w,SemiFinals,1,4,3,,,29.0,AriannaFONTANA,6227,ITA,"
						1:39.402 
					",ADV,,9.0,,13.473,13.473,,10.020,23.492,,10.278,33.770,,10.250,44.020,,10.184,54.203,,10.382,1:04.586,,10.687,1:15.272,,11.464,1:26.736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-2007,"ISU World Cup 2006/2007, Hungary, Budapest",500m,1,w,Heats,5,2,2,,,35.0,AriannaFONTANA,6227,ITA,"
						45.260 
					",Q,,5.0,,7.423,7.423,,9.586,17.009,,9.183,26.192,,9.360,35.551,,9.646,45.198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-2007,"ISU World Cup 2006/2007, Hungary, Budapest",500m,1,w,QuarterFinals,2,3,2,,,35.0,AriannaFONTANA,6227,ITA,"
						1:05.603 
					",ADV,,5.0,,7.533,7.533,,9.951,17.484,,9.561,27.045,,9.510,36.555,,29.122,1:05.677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-2007,"ISU World Cup 2006/2007, Hungary, Budapest",500m,1,w,SemiFinals,1,4,5,,,35.0,AriannaFONTANA,6227,ITA,"
						45.948 
					",,,5.0,,9.632,9.632,,7.3389999999999995,16.971,,9.484,26.456,,9.204,35.659,,10.141,45.800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-2007,"ISU World Cup 2006/2007, Hungary, Budapest",500m,1,w,FinalB,1,2,3,,,35.0,AriannaFONTANA,6227,ITA,"
						44.633 
					",,,5.0,,7.375,7.375,,9.380,16.754,,9.055,25.810,,9.229,35.038,,9.626,44.664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-2007,"ISU World Cup 2006/2007, Hungary, Budapest",500m,2,w,SemiFinals,2,4,4,,,35.0,AriannaFONTANA,6227,ITA,"
						45.820 
					",,,5.0,,7.403,7.403,,10.061,17.464,,9.258,26.722,,9.424,36.145,,9.559,45.704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-2007,"ISU World Cup 2006/2007, Hungary, Budapest",500m,2,w,QuarterFinals,3,2,1,,,35.0,AriannaFONTANA,6227,ITA,"
						44.737 
					",Q,,5.0,,7.489,7.489,,9.477,16.966,,8.958,25.924,,9.409,35.333,,9.293,44.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-2007,"ISU World Cup 2006/2007, Hungary, Budapest",500m,2,w,FinalB,1,4,4,,,35.0,AriannaFONTANA,6227,ITA,"
						45.031 
					",,,5.0,,7.500,7.500,,9.397,16.897,,9.227,26.124,,9.262,35.387,,9.415,44.801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-2007,"ISU World Cup 2006/2007, Netherlands, Heerenveen",1500m,-1,w,RepFinalA,1,1,5,,,16.0,AriannaFONTANA,6227,ITA,"
						2:24.763 
					",Q,,14.0,,8.127,8.127,,11.324000000000002,19.450,,10.789000000000001,30.240,,10.945,41.185,,10.525,51.709,,10.206,1:01.915,,10.960999999999999,1:12.876,,10.229,1:23.105,,10.584000000000001,1:33.689,,10.183,1:43.873,,10.409,1:54.281,,10.08,2:04.361,,9.897,2:14.258,,9.795,2:24.053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-2007,"ISU World Cup 2006/2007, Netherlands, Heerenveen",1500m,-1,w,SemiFinals,2,5,4,,,16.0,AriannaFONTANA,6227,ITA,"
						3:22.082 
					",,,14.0,,8.856,8.856,,11.778,20.634,,11.632,32.266,,11.910,44.176,,12.274,56.450,,11.480,1:07.930,,10.038,1:17.968,,23.082,1:41.050,,23.753,2:04.803,,16.997,2:21.801,,14.850,2:36.651,,15.111,2:51.761,,14.803,3:06.565,,15.444,3:22.009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-2007,"ISU World Cup 2006/2007, Netherlands, Heerenveen",1500m,-1,w,FinalB,1,1,4,,,16.0,AriannaFONTANA,6227,ITA,"
						2:32.921 
					",,,14.0,,10.554,10.554,,13.304,23.858,,12.453,36.311,,12.280,48.590,,11.921,1:00.512,,11.508,1:12.019,,10.387,1:22.406,,10.019,1:32.425,,10.429,1:42.853,,10.370,1:53.223,,10.042,2:03.265,,9.924,2:13.188,,9.594,2:22.783,,10.073,2:32.856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-2007,"ISU World Cup 2006/2007, Netherlands, Heerenveen",500m,-1,w,Heats,2,1,2,,,16.0,AriannaFONTANA,6227,ITA,"
						46.029 
					",Q,,5.0,,7.612,7.612,,9.470,17.081,,9.515,26.596,,9.611,36.207,,9.867,46.074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-2007,"ISU World Cup 2006/2007, Netherlands, Heerenveen",500m,-1,w,SemiFinals,1,2,2,,,16.0,AriannaFONTANA,6227,ITA,"
						45.590 
					",Q,,5.0,,7.286,7.286,,9.721,17.007,,9.376,26.383,,9.619,36.002,,9.575,45.577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-2007,"ISU World Cup 2006/2007, Netherlands, Heerenveen",500m,-1,w,QuarterFinals,1,2,1,,,16.0,AriannaFONTANA,6227,ITA,"
						44.991 
					",Q,,5.0,,7.135,7.135,,9.484,16.619,,9.242,25.860,,9.468,35.328,,9.659,44.987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,ISU European Short Track Championships 2021 - Gdansk (POL),500m,-1,m,Quarterfinals,4,3,2,,,55.0,KNEGTSjinkie,7352,NED,"
						40.872 
					",q,,5.0,3.0,7.15,7.15,3.0,8.85,16.00,3.0,8.12,24.12,3.0,8.25,32.37,3.0,8.50,40.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,ISU European Short Track Championships 2021 - Gdansk (POL),1000m,-1,m,Semifinals,2,PEN,3,,,55.0,KNEGTSjinkie,7352,NED,"
						PEN
					",,,9.0,3.0,13.69,,4.0,9.74,,4.0,9.04,,3.0,8.82,,3.0,8.72,,3.0,8.47,,3.0,8.71,,3.0,8.84,,3.0,9.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,ISU European Short Track Championships 2021 - Gdansk (POL),500m,-1,m,Semifinals,1,3,2,,,55.0,KNEGTSjinkie,7352,NED,"
						49.401 
					",QB,,5.0,4.0,7.03,7.03,5.0,9.04,16.07,4.0,10.28,26.35,3.0,12.69,39.04,3.0,10.36,49.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-2007,"ISU World Cup 2006/2007, Canada, Montreal",1500m,1,w,SemiFinals,2,3,2,,,30.0,AriannaFONTANA,6227,ITA,"
						2:29.065 
					",,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-2007,"ISU World Cup 2006/2007, Canada, Montreal",1500m,1,w,FinalB,1,1,5,,,30.0,AriannaFONTANA,6227,ITA,"
						2:32.340 
					",,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-2007,"ISU World Cup 2006/2007, Canada, Montreal",500m,-1,w,Preliminaries,4,3,2,,,30.0,AriannaFONTANA,6227,ITA,"
						45.265 
					",q,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-2007,"ISU World Cup 2006/2007, Canada, Montreal",500m,-1,w,Heats,1,2,2,,,30.0,AriannaFONTANA,6227,ITA,"
						45.208 
					",Q,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-2007,"ISU World Cup 2006/2007, Canada, Montreal",500m,-1,w,QuarterFinals,4,2,1,,,30.0,AriannaFONTANA,6227,ITA,"
						45.606 
					",Q,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-2007,"ISU World Cup 2006/2007, Canada, Montreal",500m,-1,w,SemiFinals,1,3,4,,,30.0,AriannaFONTANA,6227,ITA,"
						45.328 
					",,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-2007,"ISU World Cup 2006/2007, Canada, Montreal",500m,-1,w,FinalB,1,1,1,,,30.0,AriannaFONTANA,6227,ITA,"
						45.636 
					",,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-2007,"ISU World Cup 2006/2007, Canada, Saguenay",500m,1,w,Heats,1,3,3,,,36.0,AriannaFONTANA,6227,ITA,"
						45.368 
					",q,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-2007,"ISU World Cup 2006/2007, Canada, Saguenay",500m,1,w,Preliminaries,2,2,1,,,36.0,AriannaFONTANA,6227,ITA,"
						45.705 
					",Q,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
